question,class
customer obligate purchase mobile modem ?,1
happen customer enter inaccurate identity information purchasing service product ?,1
customer responsibility time deliver package ?,1
customer avoid receive package postman ?,1
customer need provide time place order ?,1
customer need check purchase mobile modem Irancell ?,1
possible return mobile modem lack coverage specific area ?,1
obligation customer Irancell service product ?,1
happen customer enter inaccurate information purchasing service product Irancell ?,1
customer pay payable state Irancell Online Store ?,1
document customer need prepare provide postman time deliver package ?,1
responsibility customer damage package receive postman ?,1
important customer provide update information document time place order ?,1
"customer cancel order mobile modem , timeframe possible ?",1
happen customer cancel order receive mobile modem ?,1
Irancell handle refund process cancel order ?,1
recommend action customer wish cancel purchase avoid payment waste time ?,1
condition apply refund policy mobile modem purchase Irancell Online Stores ?,1
type payment bank card connect centralized account refundable ?,1
"accord CRA instruction , limit number SIM card iranian natural person register activate ?",1
SIM card non - iranian natural person register activate accord CRA instruction ?,1
responsibilitie SIM card owner ownership SIM card legally transfer person ?,1
valid identity document iranian national regular delivery SIM card ?,1
valid identity document require foreign national regular delivery SIM card ?,1
option subscriber present postman arrive SIM card delivery regular delivery ?,1
"process express delivery , subscriber ensure timely receipt product ?",1
"happen subscriber present express delivery , product deliver case ?",1
customer need check purchase mobile modem accord text ?,1
"possible return modem lack coverage , mention text ?",1
obligation Customer accurate identity information purchasing service product ?,1
customer pay payable state Irancell Online Store ?,1
document Customer responsible prepare provide postman time deliver package ?,1
"happen customer receive damaged package postman , accord Irancell policy ?",1
important customer provide update information document time place order ?,1
"basis provide Customer Irancell gift service , accord text ?",1
Irancell undertake delivery purchase product service Customer ?,1
circumstance Irancell refund customer provision product service impossible ?,1
timeframe customer cancel order mobile modem request refund ?,1
customer contact Irancell Center request refund cancel order ?,1
"happen customer cancel order receive mobile modem , accord text ?",1
"type payment refundable , , accord Irancell refund policy ?",1
"accord CRA instruction , limit number SIM card iranian natural person non - iranian natural person register activate ?",1
responsibility lie SIM card owner ownership SIM Card legally transfer person ?,1
valid identity document iranian national receive SIM card regular delivery ?,1
"foreign national , acceptable identity document receive SIM card regular delivery ?",1
subscriber present postman arrive delivery ?,1
requirement condition choose express delivery receive product select time period ?,1
obligation customer purchasing mobile modem ?,1
customer check Irancell network coverage intend area ?,1
possible return modem lack coverage ?,1
customer accept Irancell service product ?,1
happen customer enter inaccurate information purchase service product ?,1
responsibility customer provide accurate identity information ?,1
customer pay payable Irancell Online Store ?,1
consequence customer fail provide require document postman package delivery ?,1
circumstance postman avoid deliver package ?,1
customer responsibility damage package receive postman ?,1
information customer provide time placing order avoid issue ?,1
irancell discrepancy information provide customer stage ?,1
"postal code customer provide , find accurate information ?",1
basis provide customer irancell gift service ?,1
obligation Irancell deliver purchase product service customer ?,1
irancell post purchase product accord obligation ?,1
Irancell undertake provision purchase product service find impossible later ?,1
period customer cancel order mobile modem ask refund ?,1
customer request refund cancel mobile modem order ?,1
happen refunded cancel order ?,1
customer transfer refunded bank account ?,1
consequence take delivery mobile modem customer wish cancel purchase ?,1
"payment refundable , , accord Irancell refund policy ?",1
limit number SIM card own iranian natural person accord CRA instruction ?,1
SIM card non - iranian natural person register activate accord CRA instruction ?,1
responsibility lie SIM card owner ownership legally transfer person ?,1
regulation SIM card owner follow transfer ownership person ?,1
person SIM card register need hand regular delivery ?,1
list valid identity document iranian national regular delivery .,1
document acceptable foreign national valid identity document regular delivery ?,1
subscriber present postman arrive regular delivery ?,1
customer need present announce address choose express delivery ?,1
happen customer present express delivery select time period ?,1
customer request delivery product postman present regular delivery ?,1
time frame regular delivery express delivery choose ?,1
customer responsibility purchase mobile modem Irancell ?,1
customer check Irancell network coverage intend area ?,1
mobile modem return lack coverage ?,1
customer accept use Irancell service product ?,1
happen Customer enter inaccurate identity information purchase ?,1
"consequence inaccurate information enter , central authentication system generate reference number ?",1
payable state Irancell Online Store pay Customer ?,1
document Customer need prepare provide postman deliver package ?,1
Irancell recommend Customer avoid receive package postman ?,1
customer discover receive package damage ?,1
information document Customer need provide time place order ?,1
irancell discrepancy discover information document provide Customer ?,1
customer need provide registration purchase process ?,1
customer find accurate postal code place residence ?,1
basis provide Irancell gift service Customer ?,1
obligation Irancell delivery purchase product service Customer ?,1
Irancell deliver purchase product Customer ?,1
happen Irancell unable provide product service Customer pay ?,1
long customer cancel order mobile modem purchase Irancell Online Stores ?,1
customer request refund cancel order ?,1
happen customer cancel order receive mobile modem ?,1
refund store customer cancel order receive product ?,1
customer refund Irancell Online Store Wallet ?,1
customer delivery purchase product wish cancel mobile modem purchase ?,1
payment bank card connect centralized account refund ?,1
"type payment card refundable , accord Irancell ?",1
limit number SIM card iranian natural person register activate ?,1
SIM card non - iranian natural person register activate accord CRA instruction ?,1
responsibility lie SIM card owner ownership legally transfer person ?,1
SIM card owner follow decide transfer ownership person ?,1
document person SIM Card register need provide regular delivery ?,1
valid identity document iranian national regular delivery ?,1
require iranian national old National ID Card regular delivery ?,1
document consider valid identity document foreign national regular delivery ?,1
document acceptable valid identity document foreign national regular delivery ?,1
subscriber present postman arrive regular delivery ?,1
subscriber request delivery product present regular delivery ?,1
requirement Customer receive product express delivery select time period ?,1
happen Customer present announce address express delivery ?,1
long product send regular delivery customer present express delivery ?,1
action seller change SIM card ownership accord text ?,2
responsibility seller fail delete information store SIM card deliver buyer ?,2
consequence original SIM card available process SIM card ownership change ?,2
necessary original SIM card available ownership change process place ?,2
happen seller buyer present choose address receive SIM card ownership change process ?,2
potential charge SIM card ownership change process stop absence seller buyer choose address ?,2
status SIM card file online request change ownership ?,2
SIM card reactivate successful completion ownership change request ?,2
text imply importance original SIM card ownership change process ?,2
measure take avoid hold responsible future SIM card misuse seller ?,2
text describe delivery ID authentication process SIM card ownership change ?,2
significance seller deliver original SIM card buyer ownership change process ?,2
emphasize seller need delete information store SIM card transferring ownership ?,2
"term "" soft suspend "" mean context SIM card ownership change process ?",2
"ownership change process proceed new SIM card , accord text ?",2
impact SIM card soft suspend ownership change process ?,2
text suggest avoid charge future SIM card delivery ownership change process ?,2
consequence SIM card ownership change process successfully complete ?,2
text characterize relationship availability original SIM card ownership change process ?,2
step seller buyer ensure successful SIM card ownership change process ?,2
step seller ( initial SIM card owner ) need change SIM card ownership ?,2
crucial seller delete information store SIM card deliver buyer ?,2
responsibility seller bear fail delete information SIM card transferring ownership ?,2
delivery ID authentication process work change SIM card ownership ?,2
necessary original SIM card available ownership change process place ?,2
consequence text mention seller buyer present choose address receive SIM card ownership change process ?,2
"absence original SIM card , ownership change new SIM card , accord text ?",2
happen SIM card ownership change process interrupt absence seller buyer choose address ?,2
action take SIM card file online request change ownership ?,2
SIM card affect period soft suspension change ownership request file ?,2
SIM card reactivate ownership change request successfully complete ?,2
"specific charge associate SIM card ownership change process , mention text ?",2
potential misuse SIM card future seller hold responsible delete information transfer ownership ?,2
SIM card ownership change process proceed seller buyer present choose address delivery process ?,2
role availability original SIM card play successful completion ownership change process ?,2
consequence have original SIM card available SIM card ownership change process ?,2
soft suspension SIM card impact functionality ownership change process ?,2
"text suggest necessity original SIM card successful ownership change , new SIM card ?",2
mention specific condition requirement file online request change ownership ?,2
measure take ensure security proper completion SIM card ownership change process ?,2
user,2
generate 200 question text :,2
Customer Obligations :,2
"purchase mobile modem , Customer shall check Irancell network coverage intend area "" coverage map "" available Irancell website.‌ maximum coverage provide area mobile modem part , possible return modem lack coverage .",2
"order use Irancell service product , Customer shall accept term condition relate service present term condition .",2
"customer shall responsible enter accurate correct identity information purchasing service product . case inaccurate information enter Customer , central authentication system able generate reference number ; , service registration activation possible Irancell shall responsibility regard .",2
customer shall pay payable state Irancell Online Store available online payment gateway .,2
"customer undertake prepare require document provide postman time deliver package . , postman avoid deliver package .",2
"customer undertake avoid receive damaged package postman . Irancell shall responsible , receive package , Customer find damage .",2
"customer undertake provide update information document time place order . case discrepancy discover stage , Irancell shall entitle avoid deliver product activate service.‌‌‌",2
"customer shall provide 10 - digit postal code present domicile registered.‌ refer utility bill ( fix phone , water , electricity gas ) accurate postal code place residence . careful enter postal code information information record file ( Irancell system ) basis provide Irancell gift service .",2
Irancell Obligations :,2
irancell undertake deliver Customer purchase product service specify period accordance term condition refer Irancell Online Store website.‌,2
Irancell shall post purchase product address announce Customer .,2
"event Customer pay price product service provision find impossible later , Irancell shall refund Customer .",2
purchase Cancellation :,2
