question,class
What is the customer obligated to do before purchasing a mobile modem?,1
What happens if the customer enters inaccurate identity information while purchasing a service or product?,1
What is the customer's responsibility at the time of delivering the package?,1
What should the customer avoid doing when receiving packages from the postman?,1
What does the customer need to provide at the time of placing an order?,1
What does a customer need to check before purchasing a mobile modem from Irancell?,1
Why is it not possible to return a mobile modem due to lack of coverage in a specific area?,1
What obligations does a customer have when using Irancell services and products?,1
What happens if a customer enters inaccurate information while purchasing a service or product from Irancell?,1
How should the customer pay the payable amount stated in Irancell Online Store?,1
What documents does the customer need to prepare and provide to the postman at the time of delivering the package?,1
What responsibility does the customer have regarding damaged packages received from the postman?,1
Why is it important for the customer to provide updated information and documents at the time of placing an order?,1
"How can a customer cancel their order for a mobile modem, and within what timeframe is this possible?",1
What happens if a customer cancels their order before receiving the mobile modem?,1
How does Irancell handle the refund process for canceled orders?,1
What is the recommended action for customers who wish to cancel their purchase to avoid payment or waste of time?,1
What conditions apply to the refund policy for mobile modems purchased through Irancell Online Stores?,1
What types of payments made using a bank card connected to a centralized account are refundable?,1
"According to CRA instructions, what is the limit on the number of SIM cards that Iranian natural persons can register and activate?",1
How many SIM cards can non-Iranian natural persons register and activate according to CRA instructions?,1
What responsibilities does the SIM card owner have until the ownership of the SIM card is legally transferred to another person?,1
What are the valid identity documents for Iranian nationals during regular delivery of SIM cards?,1
What valid identity documents are required for foreign nationals during regular delivery of SIM cards?,1
What options does a subscriber have if they are not present when the postman arrives for SIM card delivery during regular delivery?,1
"What is the process for express delivery, and what should the subscriber do to ensure timely receipt of the product?",1
"What happens if a subscriber is not present during express delivery, and how will the product be delivered in such a case?",1
What does the Customer need to check before purchasing a mobile modem according to the text?,1
"Why is it not possible to return a modem due to lack of coverage, as mentioned in the text?",1
What obligations does the Customer have regarding accurate identity information when purchasing a service or product?,1
How should the Customer pay the payable amount stated in Irancell Online Store?,1
What documents is the Customer responsible for preparing and providing to the postman at the time of delivering the package?,1
"What happens if the Customer receives a damaged package from the postman, according to Irancell's policy?",1
Why is it important for the Customer to provide updated information and documents at the time of placing an order?,1
"What is the basis for providing the Customer with all Irancell gifts and services, according to the text?",1
What does Irancell undertake regarding the delivery of purchased products or services to the Customer?,1
In what circumstances will Irancell refund the amount to the Customer if the provision of a product or service becomes impossible?,1
What is the timeframe within which customers can cancel their order for a mobile modem and request a refund?,1
How can customers contact Irancell Call Center to request a refund for their canceled order?,1
"What happens if a customer cancels their order before receiving the mobile modem, according to the text?",1
"What types of payments are refundable, and which are not, according to Irancell's refund policy?",1
